botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,aScore,inactivityDrawRate,purchasesPerGame,aPurchasesPerGame,bPurchasesPerGame,meanCompletedTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
Mono-fire,Mono-metal,muju-phasing-1 h3,4,3,0,1,0.7500,0.3006,0.9544,2,2,1,2,10.3,0.8750,0.2500,11.000,6.000,5.000,19.00,0.000,0,0,8
Mono-fire,Mono-plant,muju-phasing-1 h0,4,3,1,0,0.7500,0.3006,0.9544,2,2,1,2,10.5,0.7500,0.0000,11.000,4.750,6.250,19.25,0.000,0,0,7
Mono-fire,Mono-plant,muju-phasing-1 h3,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,11.0,1.0000,0.0000,11.500,7.000,4.500,20.50,0.000,0,0,9
Mono-fire,Mono-shadow,muju-phasing-1 h0,4,1,3,0,0.2500,0.0456,0.6994,1,2,0,2,9.3,0.2500,0.0000,11.000,5.500,5.500,17.00,0.000,0,0,6
Mono-fire,Mono-shadow,muju-phasing-1 h3,4,2,2,0,0.5000,0.1500,0.8500,1,2,1,2,8.3,0.5000,0.0000,11.000,6.500,4.500,15.00,0.000,0,0,5
Mono-fire,Mono-water,muju-phasing-1 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,15.8,0.0000,0.0000,13.250,8.500,4.750,30.00,0.000,0,0,9
Mono-fire,Mono-water,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,16.5,0.2500,0.5000,17.500,12.250,5.250,32.00,0.000,0,0,11
Mono-fire,Random,muju-phasing-1 h0,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,10.8,1.0000,0.0000,14.500,6.500,8.000,20.00,0.000,0,0,17
Mono-fire,Random,muju-phasing-1 h3,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,8.5,0.7500,0.5000,11.250,4.750,6.500,16.00,0.000,0,0,12
Mono-fire,Rush,muju-phasing-1 h0,4,1,3,0,0.2500,0.0456,0.6994,1,2,0,2,12.8,0.2500,0.0000,66.000,7.000,59.000,24.00,0.000,0,0,66
Mono-fire,Rush,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,14.8,0.0000,0.0000,83.250,12.000,71.250,28.25,0.000,0,0,58
Mono-fire,Tier1Spam,muju-phasing-1 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,23.8,0.0000,0.0000,85.750,14.500,71.250,46.00,0.000,0,0,48
Mono-fire,Tier1Spam,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,21.0,0.0000,0.0000,82.750,12.000,70.750,40.50,0.000,0,0,55
Mono-fire,Turtle,muju-phasing-1 h0,4,3,0,1,0.7500,0.3006,0.9544,2,2,1,2,25.8,0.8750,0.2500,16.750,12.500,4.250,50.00,0.000,0,0,15
Mono-fire,Turtle,muju-phasing-1 h3,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,17.3,0.7500,0.5000,12.500,9.500,3.000,33.25,0.000,0,0,11
Mono-lightning,Mono-metal,muju-phasing-1 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,18.0,0.2500,0.5000,22.750,14.000,8.750,35.00,0.000,0,0,15
Mono-lightning,Mono-metal,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,18.3,0.2500,0.5000,27.000,17.250,9.750,35.50,0.000,0,0,15
